약이름,금기성분,부작용사유
스틸녹스,렉사프로,강력한 수면제와 우울증 약 조합은 밤사이 의식 없이 돌아다니는 몽유병을 유발합니다.
졸피뎀,보드카,수면제 복용 직후 음주는 숨을 멈추게 하는 호흡 중추 마비 및 기억상실을 부릅니다.
할시온,자몽,자몽주스가 수면 유도제의 간 분해를 완벽히 막아 다음날 낮까지 비틀거리게 만득니다.
아티반,자낙스,두 가지 신경안정제를 겹쳐 먹으면 대뇌 기능이 너무 가라앉아 낙상과 골절 위험이 큽니다.
리보트릴,소주,공황장애 약과 알코올이 만나면 심장 박동과 호흡이 위험한 수준으로 가라앉습니다.
알프람,활명수,신경안정제와 위장약 속 일부 생약 성분이 졸음 부작용을 미세하게 자극할 수 있습니다.
자낙스,에너지드링크,고카페인이 신경안정제의 불안 완화 효과를 완벽하게 차단해 약효를 없앱니다.
렉사프로,탁센,우울증 약과 나프록센 진통제가 만나면 위장관 벽에 구멍이 뚫리는 위출혈 위험이 생깁니다.
졸로푸트,이부프로펜,항우울제와 소염진통제를 같이 먹으면 위점막 손상 확률이 4배 이상 증가합니다.
스타브론,할시온,우울증 약과 수면제가 중복되면 낮 시간대의 기억력과 집중력이 심각하게 떨어집니다.
프로작,아스피린,우울증 약의 혈소판 억제 기능이 아스피린과 만나 지혈이 안 되는 피떡 부작용을 낳습니다.
세로External,술,정신과 처방약물과 알코올이 섞이면 뇌 신경망이 마비되어 극심한 기절을 부릅니다.
웰부트린,커피,우울증 약의 교감신경 흥분 효과와 카페인이 더해져 심한 발작과 공황장애가 올 수 있습니다.
이펙서,이지엔6,최신 항우울제와 소염진통제 병용 시 내장 출혈 및 궤양 발생률이 급증합니다.
심발타,와파린,우울증 약과 피 맑은 약이 만나면 온몸에 피멍이 들고 뇌출혈 위험이 증가합니다.
데파코트,타이레놀,간질약이 간 대사를 촉진해 타이레놀의 간 독성 물질을 폭발적으로 만들어 냅니다.
토파맥스,맥주,뇌 신경을 안정시키는 약과 술이 만나면 언어 장애 및 극심한 비틀거림이 옵니다.
리리카,종합감기약,신경통 치료제 복용 중 감기약을 먹으면 현기증이 심해져 어지럼증을 유발합니다.
가바펜틴,개비스콘,위장약의 마그네슘이 신경통 약의 체내 흡수를 방해하므로 시간차를 둬야 합니다.
트라마돌,보드카,마약성 진통제 성분과 알코올이 섞이면 숨을 쉬지 않아 사망에 이를 수 있습니다.
멜록시캄,낙센,소염진통제를 두 종류 이상 겹쳐 먹으면 관절염은 안 낫고 위장만 피바다가 됩니다.
소론도,부루펜,스테로이드 약과 소염진통제가 만나면 소화관 궤양 및 출혈 위험이 급증합니다.
아스피린,안티푸라민,먹는 피 맑은 약과 바르는 소염진통제 성분이 만나 위장관 출혈을 유발할 수 있습니다.
플라빅스,아스피린,두 항혈전제를 중복 복용 시 뇌출혈이나 지혈 불량으로 매우 위험해집니다.
와파린,브로콜리,브로콜리 속 비타민K가 항응고제의 피를 맑게 하는 효과를 완전히 무력화시킵니다.
릭시아나,부루펜,최신 피 맑은 약과 소염진통제를 함께 쓰면 장내 대량 출혈 위험이 매우 커집니다.
엘리퀴스,탁센,항응고제와 진통제의 만남은 몸 곳곳에 쉽게 멍이 들고 피가 안 멈추는 부작용을 낳습니다.
자렐토,석류즙,석류의 특정 성분이 항응고제 분해를 방해해 출혈 경향을 비정상적으로 높집니다.
오메가3,플라빅스,피를 묽게 하는 영양제와 약이 만나 상처가 났을 때 지혈이 장시간 안 될 수 있습니다.
홍삼,아마릴,홍삼 성분이 당뇨약의 힘을 과도하게 키워 뇌 쇼크를 부르는 저혈당을 유발합니다.
프로바이오틱스,클라리시드,강력한 항생제가 영양제 속 유산균을 다 죽여버리므로 최소 2시간 뒤에 먹어야 합니다.
루테인,종합비타민,양쪽의 비타민A 성분이 겹쳐 몸에 과다 축적되면 간 손상과 두통이 생깁니다.
종합감기약,녹차,감기약 속 카페인과 녹차의 카페인이 더해져 가슴이 터질 듯이 뛰고 잠이 안 옵니다.
알마겔,철분영양제,제산제 속 미네랄 성분이 철분 영양제와 결합해 철분이 몸에 흡수되지 못하게 막습니다.
개비스콘,바난,위장약이 장내 산도를 바꾸면 항생제 알약이 제대로 녹지 않아 효과가 사라집니다.
큐란,가스터,동일한 위산 분비 억제 성분이 과도하게 겹치면 현기증과 대사 교란 부작용이 생깁니다.
넥시움,와파린,위장약이 항응고제의 혈중 농도를 변화시켜 뇌졸중 방지 효과를 떨어뜨릴 수 있습니다.
타케캡,이지엔6,최신 위장약과 소염진통제 조합 시 위는 보호되나 신장 독성 상호작용은 주의해야 합니다.
가스모틴,가스프라,위장관 운동 조절제를 중복 복용하면 장이 과도하게 쥐어짜져 복통과 설사가 옵니다.
포리부틴,씨잘,장 운동 조절제와 항히스타민 콧물약이 만나면 신경계가 겹쳐 극심한 변비가 옵니다.
훼로바,초코우유,유제품 속 칼슘과 카카오 성분이 빈혈약의 체내 흡수를 완벽하게 차단합니다.
센트룸,크라비트,종합비타민 속 아연이 항생제 성분을 꽉 붙잡아 약효를 0으로 만듭니다.
비타민D,겔포스,위장약을 장기 복용하면 비타민D 대사가 나빠져 뼈가 약해지는 부작용이 생낄 수 있습니다.
오메가3,탁센,오메가3의 혈행 개선 효과와 진통제의 위벽 자극이 만나 출혈 부작용을 도울 수 있습니다.
루테인,담배,흡연자가 루테인 성분을 고용량으로 매일 먹으면 폐암 발생 위험이 높아진다는 연구가 있습니다.
밀크씨슬,피임약,간 대사를 올리는 밀크씨슬이 피임 호르몬을 너무 빨리 분해해 피임 성공률을 낮춥니다.
글루코사민,당뇨약,관절 영양제 속 당 성분이 당뇨 환자의 인슐린 효과를 방해해 혈당을 올릴 수 있습니다.
펜터민,커피,다이어트 나비약과 커피가 만나면 교감신경이 폭발해 심장 발작 및 극심한 공황이 옵니다.
큐시미아,술,식욕억제제 복용 중 음주는 환각, 극심한 우울증, 불면증 파괴를 초래합니다.
콘서타,에너지드링크,ADHD 약물과 고카페인이 더해져 혈압이 급상승하고 손발이 눈에 띄게 떨립니다.
아토목세틴,렉사프로,ADHD 약의 간 분해가 막혀 심장 박동수가 위험할 정도로 빨라져 부정맥을 부릅니다.
콜킨,자몽주스,통풍 약을 먹을 때 자몽을 먹으면 약물 분해가 안 되어 치명적인 전신 골수 독성이 옵니다.
티로파,알레락,위장 진경제와 알레르기 콧물약 성분이 겹치면 입이 타들어 가듯 마르고 시야가 흐려집니다.
5-HTP,렉사프로,해외직구 기분개선 영양제와 우울증 약이 만나면 뇌 쇼크를 일으키는 세로토닌 증후군이 옵니다.
티안틴,스틸녹스,직구 스트레스 영양제와 강력한 수면제가 중복되면 호흡 마비 등 과진정 위험이 생깁니다.
요힘빈,노바스크,다이어트 영양제 성분이 혈압약의 약효를 완전히 뭉개버리고 혈압을 폭발시켰습니다.
가바,자낙스,뇌 안정 아미노산 영양제와 신경안정제가 만나면 중심을 못 잡고 비틀거리는 낙상이 발생합니다.
성요한풀,경구피임약,천연 허브 성분이 간 대사를 과하게 돌려 피임약 성분을 없애고 피임에 실패합니다.
에키네시아,소론도,면역을 올리는 허브와 면역을 누르는 스테로이드제가 만나 서로의 효과를 지워버립니다.
카바카바,게보린,직구 수면 보조 허브와 진통제가 만나면 급성 간 괴사로 응급실에 실려 가는 대형 사고가 납니다.
고량강,와파린,천약 한방 성분이 항응고제와 만나 피를 너무 묽게 만들어 잇몸 출혈을 유발합니다.
흑효모,아마릴,면역 영양제 속 특수 다당류가 당뇨약의 인슐린 시스템을 방해해 혈당을 교란합니다.
바코파,도네페질,뇌 영양제 성분이 치매약 고유의 아세틸콜린 농도를 과하게 높여 극심한 구토를 부릅니다.
실리마린,리피토,간장약 성분이 고지혈증 약물의 분해를 방해해 다리 근육이 터질 듯한 근육통을 줍니다.
쏘팔메토,하루날디,전립선 영양제와 전문 비뇨기과 약이 중복되면 기립성 저혈압으로 눈앞이 캄캄해집니다.
프로폴리스,수프락스,천연 항균 물질과 소아과 항생제가 장내에서 만나 과도한 복통과 설사를 냅니다.
스피루리나,면역억제제,면역 활성 영양제가 류마티스 등 면역을 낮추는 처방약의 약효를 무력화합니다.
글루타치온,항암제,고농도 항암 치료 중 항산화 영양제를 과다 먹으면 항암제의 암세포 공격을 방해합니다.
아르기닌,코자,혈관을 넓히는 아미노산과 혈압약이 만나면 급격한 혈압 저하로 어지럼증이 심해집니다.
마카,호르몬제,활력 영양제 속 특수 성분이 부인과 호르몬 약물의 정밀한 밸런스를 깨뜨려 버립니다.
알로에전잎,다이크로짇,변비 영양제 속 알로에 성분과 이뇨제가 만나면 칼륨이 과다 배출되어 마비가 옵니다.
차전자의피,종합비타민,식이섬유 영양제가 비타민의 영양 성분을 흡착해 대변으로 그냥 빼버립니다.
글루코사민,다이아벡스,관절 영양제의 당 성분이 당뇨 환자의 인슐린 저항성을 자극해 혈당을 올립니다.
MSM,이지엔6,식이유황 영양제와 진통제를 위가 약한 사람이 같이 먹으면 속쓰림이 가중될 수 있습니다.
콘드로이친,와파린,연골 성분 영양제가 항응고제와 만나면 피 응고 기전에 미세한 교란을 줍니다.
히알루론산,안약,먹는 피부 영양제와 안과 처방약 성분 간의 미세한 대사 간섭을 모니터링해야 합니다.
콜라겐,제산제,고분자 단백질 콜라겐을 위장약과 먹으면 위산이 부족해 단백질 분해가 안 되고 설사를 합니다.
스피루리나,소론도,면역 강화 영양제가 염증을 누르는 스테로이드 약물의 작용을 정면으로 방해합니다.
클로렐라,와파린,클로렐라 속 풍부한 비타민K가 항응고제의 피 맑은 효과를 완벽하게 지워버립니다.
맥주효모,통풍약,맥주효모 속 엄청난 퓨린 성분이 통풍 약의 효과를 누르고 통풍 발작 통증을 부릅니다.
시서스,다이어트약,직구 다이어트 영양제들을 겹쳐 먹으면 심장 두근거림과 구토, 극심한 불면이 옵니다.
가르시니아,술,탄수화물 차단제 복용 중 음주는 간 수치를 급격히 끌어올리는 간 독성 유발 조합입니다.
카테킨,리피토,녹차 추출물 다이어트 약과 고지혈증 약이 만나면 간 대사 과부하로 근육통이 옵니다.
공액리놀레산,당뇨약,지방 분해 영양제가 당뇨 환자의 인슐린 감수성을 교란해 혈당을 널뛰게 만듭니다.
레시틴,고지혈증약,인지질 영양제와 고지혈증 약물의 지질 대사 경로가 겹치므로 주의가 필요합니다.
루테인,베타카로틴,양쪽의 유사 비타민A 성분이 겹치면 체내 독성 및 흡연자 폐암 위험을 높입니다.
아스타잔틴,종합영양제,눈 영양제와 종합비타민 속 항산화 성분이 과도하게 겹치면 오히려 대사를 방해합니다.
빌베리,아스피린,항산화 빌베리 추출물이 피를 맑게 하는 약과 만나 지혈 불량 부작용을 도울 수 있습니다.
밀크씨슬,타이레놀,간장약이 간 대사를 활성화하는 과정에서 타이레놀의 독성 대사물이 순간적으로 늘어날 수 있습니다.
실리마린,피임약,밀크씨슬이 피임 호르몬 분해를 너무 빠르게 유도하여 피임 성공률을 떨어뜨릴 수 있습니다.
포스파티딜세린,신경안정제,뇌 영양제와 정신과 약물이 만나면 뇌 신경 전달 물질이 미세하게 교란됩니다.
테아닌,수면제,녹차 속 안정 성분 영양제와 전문 수면제가 만나면 과도한 신경 진정으로 위험합니다.
멜라토닌,술,직구 수면 영양제와 알코올이 만나면 몽유병, 호흡 곤란, 심한 어지러움증을 유발합니다.
발레리안루트,수면제,천연 수면 허브와 처방 수면제가 만나면 아침에 일어날 수 없을 정도로 신경이 가라앉습니다.
레몬밤,갑상선약,레몬밤 추출물이 갑상선 호르몬제의 약효를 미세하게 방해한다는 연구가 있습니다.
센텔라아시아티카,정맥순환약,먹는 피부약 성분과 정맥순환 처방약 성분이 중복되면 간 부담이 증가합니다.
은행잎추출물,와파린,징코빌로바 성분이 피를 맑게 하여 항응고제와 만나면 뇌출혈 위험을 가중시킵니다.
징코빌로바,아스피린,은행잎 영양제와 아스피린 조합은 상처가 났을 때 피가 안 멈추는 부작용을 낳습니다.
낫토키나제,플라빅스,혈전 분해 영양제와 항혈전 약물이 중복되면 위장관 대량 출혈을 유발할 수 있습니다.
코엔자임Q10,와파린,코큐텐 성분이 와파린의 항응고 작용을 미세하게 방해하여 혈전 위험을 높일 수 있습니다.
홍국,리피토,붉은 누룩 영양제는 고지혈증 약과 성분이 똑같아서 중복 복용 시 근육 세포가 파괴됩니다.
폴리코사놀,크레스토,콜레스테롤 영양제와 처방약이 만나면 지질 수치가 비정상적으로 급변할 수 있습니다.
달맞이꽃종자유,아스피린,감마리놀렌산이 피를 묽게 만들어 항혈전제와 만나면 출혈 경향이 커집니다.
보라지유,와파린,고농축 오일 영양제가 항응고제와 만나 지혈 불량 및 피멍 부작용을 일으킵니다.
쏘팔메토,아보다트,남성 영양제와 전립선 탈모약이 중복되면 호르몬 교란 및 현기증이 가중됩니다.
옥타코사놀,혈압약,지구력 영양제의 지질 대사 기능이 일부 혈압약의 흡수율에 간섭할 수 있습니다.
아미노산링거,당뇨약,고농축 아미노산 수액이나 영양제는 당뇨 환자의 급격한 혈당 상승을 유발합니다.
BCAA,신장약,고농량 아미노산이 단백질 대사를 가중시켜 신장이 안 좋은 환자의 신부전을 악화시킵니다.
글루타민,정신과약,장 건강 아미노산이 뇌 신경 전달 물질에 영향을 주어 신경안정제 약효를 교란합니다.
크레아틴,이부프로펜,근육 영양제 크레아틴과 소염진통제가 동시에 신장 필터에 치명적인 타격을 줍니다.
밀크프로틴,항생제,단백질 보충제 속 칼슘과 유청 성분이 항생제 알약의 장내 흡수를 방해합니다.
콜린,치매약,뇌 영양제 속 콜린 성분이 치매 환자의 약물 농도를 비정상적으로 올려 구토를 부릅니다.
이노시톨,당뇨약,다낭성 증후군 영양제가 인슐린 감수성에 영향을 주어 당뇨약과 만날 때 혈당을 급변시킵니다.
타우린,에너지드링크,고용량 타우린과 카페인이 만나면 심장 근육에 과부하가 걸려 부정맥이 옵니다.
카르니틴,갑상선약,지방 연소 영양제 카르니틴이 갑상선 호르몬제의 약효를 방해하여 몸을 무기력하게 만듭니다.
베타인,제산제,위산 분비를 돕는 영양제와 위산을 없애는 위장약이 만나 서로의 효과를 제로로 만듭니다.
퀘르세틴,항생제,항산화 영양제가 특정 항생제의 분해를 방해하여 체내 약물 독성 수치를 올립니다.
브로멜라인,와파린,파인애플 추출물 영양제가 피를 묽게 만들어 항응고제와 만나면 출혈을 자극합니다.
루틴,아스피린,혈관 건강 영양제가 피를 맑게 하는 약과 만나 잇몸 출혈이나 지혈 불량을 부릅니다.
리코펜,항암제,토마토 추출물 영양제가 특정 방사선 치료나 항암 치료의 산화 효과를 방해할 수 있습니다.
제아잔틴,종합비타민,눈 영양제 속 성분이 종합비타민의 비타민A와 중복되어 간 수치를 올릴 수 있습니다.
크릴오일,이지엔6,크릴오일의 혈행 개선 효과와 진통제의 위벽 자극 성분이 만나 속쓰림과 출혈을 돕습니다.
상어연골,와파린,칼슘과 콘드로이친이 풍부한 영양제가 항응고제 효과에 교란을 줄 수 있습니다.
프로폴리스액,가스터,구강 항균 액체와 위장약이 만나면 위점막 대사 경로에 미세한 간섭을 줍니다.
로열젤리,천식약,로열젤리의 단백질 성분이 천식 환자에게 극심한 알레르기 및 천식 발작을 유발합니다.
화분영양제,알레르기약,꽃가루 영양제가 알레르기 비염 환자의 증상을 폭발적으로 악화시키는 상극입니다.
매실엑기스,알마겔,강한 산성의 매실 원액이 제산제의 중화 기능을 완전히 무력화시켜 버립니다.
스포라녹스,오렌지주스,일부 무좀약은 위산이 있어야 녹으므로 산성 주스와 먹으면 흡수가 변할 수 있습니다.
라미실,시메티딘,위장약이 무좀약의 체내 분해 분출 시스템을 막아 피부 발진 독성을 유발합니다.
플루코나졸,아미오다론,무좀약과 부정맥 약이 만나면 심장 박동이 완전히 불규칙해지는 급사 위험이 생깁니다.
이트라코나졸,자몽주스,강력한 항진균제가 자몽과 만나면 약물 대사가 완전히 멈춰 간 괴사를 부릅니다.
케토코나졸,겔포스,무좀약이 제산제 때문에 장에서 전혀 녹지 않아 무저갱의 효과(효과 제로)가 됩니다.
시클로피록스,피부연고,바르는 무좀약과 다른 피부 스테로이드 연고가 겹치면 피부 면역이 완전히 깨집니다.
티오코나졸,질정,항진균제 성분이 중복되면 국소 부위의 극심한 화끈거림과 점막 손상을 유발합니다.
포사코나졸,넥시움,최신 항진균제가 강력한 위장약 때문에 몸에 전혀 흡수되지 않고 배출됩니다.
테르비나핀,커피,무좀약 성분이 카페인의 분해를 막아 커피 한 잔만 마셔도 하루 종일 심장이 미친 듯이 뜁니다.
그리세오풀빈,맥주,특정 무좀약 복용 중 음주는 온몸이 불타는 듯한 홍조와 극심한 구토 쇼크를 부릅니다.
펜터민,벨빅,다이어트 나비약과 다른 식욕억제제를 섞어 먹으면 뇌 신경망이 파괴되어 환각이 옵니다.
큐시미아,막걸리,다이어트 신약 복용 중 음주는 뇌 중추를 마비시켜 극심한 우울증과 발작을 초래합니다.
콘서타,마오억제제,ADHD 치료제와 특정 정신과 약이 만나면 혈압이 200 이상 치솟아 뇌출혈로 사망합니다.
아토목세틴,프로작,ADHD 약물이 우울증 약 때문에 분해가 안 되어 심장이 터질 듯이 빠르게 뜁니다.
메틸페니데이트,레드불,교감신경 흥분제와 고카페인 음료가 만나면 극심한 공황발작과 호흡곤란이 옵니다.
웰부트린,식욕억제제,우울증 약 겸 다이어트 약물과 다른 비만약을 섞으면 뇌 발작 쇼크 위험이 급증합니다.
삭센다주사,종합감기약,다이어트 주사제 치료 중 감기약 속 특정 성분이 위장 운동을 완전히 멈춰 구토를 유발합니다.
위고비주사,술,비만 치료 주사제를 맞으며 술을 마시면 극심한 탈수와 함께 급성 췌장염으로 사망할 수 있습니다.
오리스타트,종합비타민,지방 흡수 차단제가 비타민A, D, E, K 등 기름에 녹는 필수 비타민을 싹 묶어서 대변으로 버립니다.
마진돌,항우울제,식욕억제제와 정신과 약물이 중추신경에서 충돌해 혈압 위기와 심장 마비를 부릅니다.
레보플록사신,철분제,강력한 퀴놀론계 항생제가 빈혈약 성분과 만나면 흡수가 완전히 막혀 항생제 효과가 사라집니다.
모시플록사신,겔포스,위장약 속 알루미늄 성분이 항생제를 꽉 붙잡아 약효를 내지 못하고 배출시킵니다.
바난정,우유,특정 항생제를 유제품과 함께 먹으면 장내 흡수율이 급격히 떨어지므로 맹물과 먹어야 합니다.
시프로플록사신,커피,항생제가 카페인 분해를 막아 커피 한 잔만으로도 극심한 부정맥과 불안 증상이 옵니다.
독시사이클린,칼슘영양제,피부과나 치과에서 쓰는 항생제가 칼슘과 결합하면 뼈와 치아가 변색되거나 약효가 없어집니다.
미노신,철분영양제,여드름 약으로 흔히 쓰는 항생제와 빈혈 영양제는 서로를 억제하므로 2시간 이상 띄워야 합니다.
아지스로마이신,자몽주스,마크로라이드계 항생제가 자몽 성분과 만나면 혈중 농도가 올라가 심장 부작용을 유발합니다.
클래리트로마이신,리피토,특정 항생제가 고지혈증 약의 간 대사를 완벽히 막아 근육 세포를 녹여버립니다.
아목시실린,유산균,항생제가 영양제 속 유산균을 전멸시키므로 반드시 항생제 복용 후 2시간 뒤에 유산균을 먹어야 합니다.
오구멘틴,탄산수,복합 항생제를 산성 음료와 함께 먹으면 약물의 구조가 깨져 위장 장애가 극심해집니다.
세파클러,제산제,흔히 쓰는 소아과/이비인후과 항생제가 위장약 때문에 녹지 않아 효과가 무력화됩니다.
세프포도심,가스터,위산 분비 억제제가 장내 환경을 바꾸면 항생제 알약의 체내 흡수율이 반토막 납니다.
리팜핀,피임약,결핵 치료제가 간 대사 효소를 과도하게 자극해 피임 호르몬을 없애버리므로 피임에 실패합니다.
이소니아지드,치즈,결핵 약 복용 중 치즈나 와인을 먹으면 티라민 성분 분해가 안 되어 혈압이 폭발합니다.
에탐부톨,종합비타민,결핵 약과 종합비타민 속 특정 미네랄이 만나면 시신경 독성 부작용 위험이 미세하게 올라갑니다.
피라진아미드,통풍약,결핵 치료 성분이 요산 배출을 막아 통풍 환자의 극심한 통풍 발작을 유발합니다.
바라크루드,소염진통제,B형간염 치료제 복용 중 진통제 남용은 신장 배출 시스템을 교란해 약효를 떨어뜨립니다.
비리어드,아스피린,간염 치료 신약과 아스피린을 장기 병용하면 신장 필터 기능이 급격히 망가질 수 있습니다.
베믈리디,개비스콘,최신 간염 약이 제산제 성분과 장내에서 엉겨 붙어 약물의 흡수 속도를 방해합니다.
소발디,리피토,C형간염 신약과 고지혈증 치료제를 같이 쓰면 간 독성 및 근육통 부작용이 배로 증가합니다.
하보니,와파린,강력한 간염 치료제가 항응고제의 혈중 농도를 변화시켜 지혈 불량을 부를 수 있습니다.
페가시스주사,타이레놀,인터페론 주사 치료 중 타이레놀 과다 복용은 간세포에 극심한 과부하를 줍니다.
리바비린,이지엔6,항바이러스제와 소염진통제 조합은 빈혈 및 위장관 자극 부작용을 가중시킵니다.
조비락스,부루펜,대상포진 바이러스 약과 진통제가 동시에 신장에 부담을 주어 급성 신부전을 유발합니다.
발트렉스,낙센,항바이러스 치료제 복용 중 나프록센 진통제 병용은 신장 독성 상호작용을 주의해야 합니다.
팜비어,제산제,대상포진 약을 위장약과 함께 삼키면 생체 이용률이 떨어져 신경통 억제 효과가 감소합니다.
타미플루,종합감기약,독감 약 복용 중 일반 감기약을 임의로 겹쳐 먹으면 구토와 환각 등 신경계 부작용이 겹칩니다.
페라미플루주사,술,독감 치료 주사제를 맞은 직후 음주는 심장 마비와 호흡 억제를 부르는 절대 금기입니다.
조플루자,우유,최신 독감 치료 알약을 유제품과 먹으면 칼슘과 결합해 약효가 완벽하게 0이 됩니다.
팍스로비드,리피토,코로나 치료제 속 성분이 고지혈증 약의 분해를 막아 치명적인 전신 근육 괴사를 부릅니다.
라게브리오,항응고제,코로나 치료 신약이 피를 맑게 하는 약물의 작용을 교란할 수 있어 모니터링이 필요합니다.
소론도,데파코트,스테로이드제와 간질 약이 만나면 스테로이드의 체내 대사가 빨라져 소염 효과가 뚝 떨어집니다.
덱사메타손,당뇨약,강력한 스테로이드 호르몬제가 당뇨 환자의 인슐린 효과를 막아 혈당을 폭발시킵니다.
메틸프레드니솔론,맥주,호르몬 염증약과 술이 만나면 위벽이 사정없이 깎여나가 급성 위궤양이 발생합니다.
코티손,이지엔6,스테로이드 약물과 시판 소염진통제를 같이 먹으면 위장관 구멍(천공) 위험이 4배 급증합니다.
프레드니솔론,아스피린,호르몬제와 피 맑은 약의 만남은 대장내 대량 출혈을 자극하는 위험한 조합입니다.
플루드rocortisone,이뇨제,특정 호르몬제와 이뇨제를 병용하면 체내 칼륨이 완전히 빠져나가 근육이 마비됩니다.
신지록신,철분영양제,갑상선 약은 철분 성분과 만나면 장에서 굳어버리므로 반드시 4시간 이상 띄워야 합니다.
씬지로이드,에스프레소,갑상선 호르몬제는 카페인과 만나면 흡수가 완전히 차단되므로 무조건 맹물 공복에 먹어야 합니다.
안티로이드,종합비타민,갑상선 기능 항진증 약과 비타민 속 고농도 요오드가 만나면 약효가 완전히 상쇄됩니다.
메티마졸,막걸리,갑상선 조절 약물 복용 중 음주는 간 수치를 파괴하고 백혈구 감소증을 악화시킵니다.
카비마졸,이지엔6,항갑상선제와 소염진통제가 만나면 골수 기능 억제 부작용이 미세하게 증가할 수 있습니다.
리피토,에리스로마이신,고지혈증 약이 특정 항생제와 만나면 배출이 막혀 온몸의 근육이 파괴됩니다.
크레스토,자몽주스,일부 고지혈증 약물이 자몽 성분에 막혀 몸속에 독성 수준으로 쌓여 신부전을 부릅니다.
조코,레드와인,고지혈증 약과 알코올이 만나면 간세포가 즉사하고 전신 근육이 녹아내리는 부작용이 생깁니다.
리피로우,인삼엑기스,고농축 인삼이 고지혈증 약의 대사 경로를 방해해 근육 독성 위험을 높일 수 있습니다.
메트포르민,치즈퐁듀,당뇨약과 고농축 유제품을 과다 소섭 시 젖산 산증으로 심한 복통과 설사가 터집니다.
아마릴,마늘즙,고농축 마늘 성분이 당뇨약의 힘을 과도하게 키워 뇌 쇼크를 부르는 저혈당을 유발합니다.
액토스,소론도,일부 당뇨약과 스테로이드 염증약이 만나면 몸이 심하게 붓는 부종과 심부전 위험이 생깁니다.
자누비아,이부프로펜,일반 진통제가 신장 기능을 떨어뜨려 당뇨약이 몸 밖으로 빠져나가지 못하게 막습니다.
트라젠타,고용량비타민C,비타민C가 당뇨 환자의 자가 혈당 측정기 화학 반응을 방해해 치명적인 오류를 냅니다.
포시가,다이크로짇,소변으로 당을 빼는 약과 이뇨제가 만나면 피가 끈적해지는 극심한 탈수 쇼크가 옵니다.
자디앙,커피,당뇨약의 이뇨 효과에 카페인의 이뇨 작용이 더해져 이중 탈수로 기절할 수 있습니다.
베이슨,탄산음료,탄산음료와 당뇨약이 장내에서 만나면 가스가 폭발적으로 차올라 극심한 복통이 옵니다.
글루코바이,맥주,당 분해를 막는 약과 술이 만나면 장에서 이상 발효가 일어나 멈추지 않는 설사가 납니다.
트레시바,소주,인슐린 주사나 투여 후 음주는 뇌세포를 파괴하는 치명적인 야간 저혈당 쇼크를 부릅니다.
란투스,에너지드링크,인슐린 치료 중 고카페인 섭취는 호르몬 대사 균형을 깨뜨려 혈당을 급변시킵니다.
노보믹스,부루펜,인슐린 주사제와 소염진통제 병용은 신장 미세혈관에 부담을 주어 수분 정체를 유발합니다.
리조덱,홍삼정,인슐린 약물과 고농축 홍삼 성분이 만나면 약효가 과해져 식은땀과 저혈당 두통이 옵니다.
휴마로그,아스피린,대량의 아스피린 성분이 인슐린의 혈당 강하 효과를 비정상적으로 증폭시킬 수 있습니다.
니트로글리세린,비아그라,협심증 약과 발기부전 치료제가 만나면 혈압이 치명적으로 폭락하여 사망에 이릅니다.
시알리스,하루날디,전립선 약과 특정 성분이 결합하면 기립성 저혈압으로 뇌로 가는 혈류가 멈춰 쓰러집니다.
아모디핀,자몽청,자몽 성분이 혈압약 분해를 완전히 막아 급격한 저혈압 기절을 유발합니다.
딜라트렌,알코올,심장 혈관약과 술이 만나면 혈관이 너무 열려 어지러움과 실신 낙상 사고를 부릅니다.
콩코르,부루펜,소염진통제가 고혈압약의 혈압 낮추는 효과와 심장 보호 기능을 완벽히 방해합니다.
코자,바나나칩,칼륨이 풍부한 음식을 특정 혈압약과 과다 섭취 시 고칼륨혈증 쇼크 위험이 생깁니다.
스피로노락톤,칼슘제,이뇨제와 칼슘 영양제가 만나면 혈중 미네랄 수치가 비정상적으로 널뛰기합니다.
다이크로짇,한약감초,이뇨제가 칼륨을 빼는 와중에 감초까지 먹으면 저칼륨혈증으로 근육이 마비됩니다.
디옥신,감초엑기스,한약재 감초는 심장약 디옥신의 독성을 치명적인 사망 수준으로 끌어올립니다.
베라파밀,자몽주스,맥박 조절 약물이 자몽과 만나면 심장이 너무 느리게 뛰는 서맥 쇼크가 발생합니다.
딜티아젬,플라빅스,혈관 확장 효과와 항혈전 효과가 부딪혀 멍이 심하게 들거나 내장 출혈이 일어납니다.
탐스로신,시알리스,전립선약과 특정 약물이 결합하면 기립성 저혈압으로 심한 현기증이 옵니다.
하루날디,레드와인,비뇨기과 약 복용 중 음주는 혈관을 과도하게 넓혀 실신을 유발합니다.
피나스테리드,두타스테리드,탈모 치료 성분을 중복해서 먹으면 호르몬 불균형과 간 손상만 심해집니다.
프로스카,아보다트,동일한 전립선/탈모 호르몬 억제제를 겹쳐 복용하는 것은 절대 금기입니다.
베시케어,액티피드,비뇨기과 약과 감기 콧물약이 만나면 항콜린 효과가 겹쳐 소변이 안 나오게 됩니다.
포사맥스,치즈,골다공증 약을 유제품과 함께 삼키면 칼슘과 엉겨 붙어 약효가 완전히 사라집니다.
에비스타,와파린,골다공증 치료제가 항응고제의 피를 맑게 하는 효과를 교란하므로 주의해야 합니다.
도네페질,종합감기약,감기약 속 콧물 억제 성분이 치매 환자의 뇌 기능을 치명적으로 방해합니다.
